iter	Passed	Remaining
0	9	1730
1	16	1540
2	22	1394
3	28	1323
4	35	1288
5	42	1275
6	48	1252
7	54	1226
8	61	1210
9	67	1198
10	74	1184
11	80	1177
12	87	1165
13	92	1146
14	98	1128
15	103	1107
16	109	1098
17	116	1091
18	122	1081
19	128	1070
20	134	1060
21	139	1048
22	145	1037
23	151	1028
24	158	1026
25	164	1020
26	171	1015
27	178	1011
28	185	1008
29	192	1007
30	198	1000
31	206	1001
32	214	1001
33	221	996
34	229	995
35	237	995
36	245	995
37	252	991
38	260	988
39	268	986
40	276	982
41	282	975
42	289	970
43	296	963
44	303	956
45	309	950
46	316	943
47	323	936
48	330	930
49	336	921
50	343	914
51	349	907
52	355	899
53	362	892
54	369	886
55	375	879
56	382	871
57	388	864
58	395	857
59	400	848
60	406	839
61	413	832
62	419	825
63	425	817
64	432	812
65	438	804
66	445	797
67	451	790
68	457	782
69	463	774
70	469	767
71	475	759
72	481	751
73	487	744
74	493	737
75	500	730
76	507	724
77	514	718
78	521	712
79	527	705
80	533	698
81	540	691
82	546	684
83	553	678
84	558	670
85	565	664
86	571	656
87	577	649
88	583	642
89	589	635
90	596	628
91	602	622
92	609	615
93	615	609
94	622	602
95	628	595
96	634	588
97	640	581
98	646	575
99	653	568
100	658	560
101	664	554
102	671	547
103	677	540
104	684	534
105	690	527
106	697	521
107	703	514
108	710	508
109	716	501
110	723	495
111	729	488
112	735	481
113	742	475
114	749	469
115	754	462
116	761	455
117	767	448
118	773	442
119	780	435
120	786	429
121	792	422
122	798	415
123	805	409
124	811	402
125	817	395
126	823	389
127	830	382
128	837	376
129	843	369
130	850	363
131	856	356
132	862	350
133	869	343
134	875	337
135	882	331
136	889	324
137	895	317
138	901	311
139	908	304
140	914	298
141	921	291
142	927	285
143	932	278
144	939	272
145	945	265
146	951	258
147	958	252
148	964	245
149	971	239
150	977	233
151	984	226
152	991	220
153	997	213
154	1003	207
155	1009	200
156	1016	194
157	1022	187
158	1028	181
159	1035	174
160	1041	168
161	1046	161
162	1052	155
163	1059	148
164	1066	142
165	1072	135
166	1079	129
167	1085	122
168	1092	116
169	1098	109
170	1104	103
171	1110	96
172	1116	90
173	1122	83
174	1128	77
175	1134	70
176	1141	64
177	1147	57
178	1153	51
179	1159	45
180	1165	38
181	1170	32
182	1176	25
183	1182	19
184	1188	12
185	1194	6
186	1200	0
